Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_m_i_94, -2.5130064723832435, 0.013357238972854174, 0.00024689929520846517, -2.5395042347682817, -2.487351090213361, -2.539921921986242, -2.5218999917096063, -2.512684576447607, -2.5039665206848833, -2.4874628874721467
log_m_i_95, -2.4881163501573216, 0.013357238972854246, 0.00024689929520846826, -2.5146141125423402, -2.4624609679874196, -2.5150317997603007, -2.497009869483665, -2.4877944542216657, -2.479076398458942, -2.4625727652462053
log_m_i_96, -2.463798597184705, 0.013357238972854074, 0.0002468992952084659, -2.490296359569751, -2.4381432150148306, -2.4907140467877116, -2.472692116511076, -2.4634767012490766, -2.454758645486353, -2.438255012273616
log_m_i_97, -2.4403675204279387, 0.013357238972854263, 0.0002468992952084673, -2.466865282812965, -2.4147121382580443, -2.4672829700309253, -2.4492610397542895, -2.4400456244922903, -2.4313275687295666, -2.41482393551683
log_m_i_98, -2.418166791766652, 0.013357238972854204, 0.00024689929520847336, -2.4446645541516774, -2.392511409596757, -2.445082241369638, -2.427060311093002, -2.417844895831003, -2.409126840068279, -2.3926232068555424
log_m_i_99, -2.3975648948510937, 0.01335723897285418, 0.0002468992952084716, -2.424062657236102, -2.3719095126811816, -2.4244803444540626, -2.406458414177427, -2.3972429989154276, -2.388524943152704, -2.372021309939967
log_m_i_100, -2.3789480448700266, 0.01335723897285415, 0.00024689929520846647, -2.405445807255051, -2.3532926627001305, -2.4058634944730115, -2.3878415641963757, -2.3786261489343765, -2.3699080931716527, -2.353404459958916
log_m_i_101, -2.362710208831035, 0.013357238972854147, 0.0002468992952084711, -2.389207971216065, -2.3370548266611446, -2.3896256584340256, -2.37160372815739, -2.3623883128953906, -2.353670257132667, -2.3371666239199302
log_m_i_102, -2.3492401056864267, 0.013357238972854199, 0.0002468992952084683, -2.3757378680714254, -2.323584723516505, -2.376155555289386, -2.35813362501275, -2.348918209750751, -2.340200153988027, -2.3236965207752904
log_m_i_103, -2.338905449043574, 0.01335723897285422, 0.00024689929520846924, -2.3654032114285863, -2.3132500668736657, -2.3658208986465468, -2.347798968369911, -2.3385835531079118, -2.329865497345188, -2.3133618641324514
log_m_i_104, -2.33203519350936, 0.013357238972854135, 0.00024689929520846506, -2.3585329558944146, -2.306379811339494, -2.358950643112375, -2.3409287128357392, -2.33171329757374, -2.3229952418110162, -2.3064916085982796
log_m_i_105, -2.328901077146579, 0.013357238972854226, 0.00024689929520846826, -2.3553988395316425, -2.303245694976722, -2.355816526749603, -2.337794596472967, -2.328579181210968, -2.319861125448244, -2.3033574922355076
log_m_i_106, -2.3297001858084205, 0.013357238972854159, 0.00024689929520846794, -2.3561979481934436, -2.304044803638523, -2.356615635411404, -2.3385937051347683, -2.329378289872769, -2.3206602341100453, -2.3041566008973087
log_m_i_107, -2.3345404588272167, 0.013357238972854192, 0.000246899295208466, -2.3610382212122487, -2.308885076657328, -2.361455908430209, -2.3434339781535733, -2.334218562891574, -2.3255005071288504, -2.3089968739161137
log_m_i_108, -2.3434309173916623, 0.013357238972854133, 0.00024689929520846647, -2.369928679776694, -2.3177755352217733, -2.3703463669946543, -2.3523244367180185, -2.3431090214560193, -2.3343909656932955, -2.317887332480559
log_m_i_109, -2.356277926811018, 0.01335723897285423, 0.00024689929520846506, -2.3827756891960195, -2.330622544641099, -2.38319337641398, -2.365171446137344, -2.355956030875345, -2.347237975112621, -2.3307343418998845
log_m_i_110, -2.3728880907505348, 0.013357238972854187, 0.00024689929520846924, -2.3993858531355707, -2.34723270858065, -2.399803540353531, -2.3817816100768954, -2.372566194814896, -2.3638481390521724, -2.3473445058394358
log_m_i_111, -2.392977555996639, 0.013357238972854284, 0.000246899295208466, -2.4194753183816657, -2.367322173826745, -2.419893005599626, -2.4018710753229904, -2.392655660060991, -2.3839376042982674, -2.3674339710855308
log_m_i_112, -2.416186721548216, 0.013357238972854263, 0.00024689929520846647, -2.442684483933237, -2.3905313393783163, -2.4431021711511973, -2.4250802408745615, -2.4158648256125623, -2.4071467698498386, -2.390643136637102
log_m_i_113, -2.4420987230136646, 0.013357238972854226, 0.000246899295208464, -2.4685964853987272, -2.4164433408438066, -2.4690141726166877, -2.450992242340052, -2.4417768270780527, -2.433058771315329, -2.4165551381025923
log_m_i_114, -2.4702597094693175, 0.013357238972854187, 0.00024689929520846566, -2.4967574718543424, -2.444604327299422, -2.497175159072303, -2.479153228795667, -2.469937813533668, -2.461219757770944, -2.4447161245582074
log_m_i_115, -2.5001989119128516, 0.013357238972854133, 0.00024689929520846994, -2.5266966742978476, -2.474543529742927, -2.527114361515808, -2.5090924312391722, -2.499877015977173, -2.4911589602144493, -2.4746553270017126
log_m_i_116, -2.531446813170258, 0.013357238972854249, 0.0002468992952084713, -2.5579445755552586, -2.505791431000338, -2.558362262773219, -2.540340332496583, -2.531124917234584, -2.52240686147186, -2.5059032282591236
log_m_i_117, -2.5635502727783632, 0.0133572389728542, 0.000246899295208465, -2.5900480351634023, -2.5378948906084817, -2.5904657223813627, -2.572443792104727, -2.5632283768427278, -2.554510321080004, -2.5380066878672674
log_m_i_118, -2.596084082101607, 0.013357238972854147, 0.00024689929520847347, -2.6225818444866364, -2.570428699931716, -2.622999531704597, -2.604977601427961, -2.595762186165962, -2.587044130403238, -2.5705404971905015
log_m_i_119, -2.6286589736480375, 0.013357238972854138, 0.00024689929520846636, -2.6551567360330455, -2.603003591478125, -2.655574423251006, -2.63755249297437, -2.628337077712371, -2.619619021949647, -2.6031153887369105
log_m_i_120, -2.6609264758582127, 0.01335723897285413, 0.00024689929520847173, -2.6874242382432603, -2.6352710936883397, -2.6878419254612207, -2.669819995184585, -2.6606045799225857, -2.651886524159862, -2.6353828909471253
log_m_i_121, -2.692581236432284, 0.013357238972854209, 0.00024689929520847097, -2.7190789988173214, -2.666925854262401, -2.719496686035282, -2.701474755758646, -2.692259340496647, -2.683541284733923, -2.6670376515211864
log_m_i_122, -2.723361440728817, 0.013357238972854147, 0.0002468992952084608, -2.7498592031138602, -2.6977060585589396, -2.7502768903318207, -2.732254960055185, -2.7230395447931857, -2.714321489030462, -2.6978178558177253
log_m_i_123, -2.7530478986089095, 0.013357238972854159, 0.00024689929520846897, -2.779545660993919, -2.7273925164389983, -2.7799633482118793, -2.7619414179352435, -2.7527260026732443, -2.7440079469105205, -2.727504313697784
log_m_i_124, -2.7814622752830727, 0.013357238972854193, 0.00024689929520847216, -2.807960037668121, -2.7558068931132005, -2.8083777248860815, -2.7903557946094457, -2.7811403793474465, -2.7724223235847227, -2.755918690371986
log_m_i_125, -2.8084648277391597, 0.013357238972854199, 0.0002468992952084633, -2.834962590124192, -2.7828094455692716, -2.8353802773421526, -2.817358347065517, -2.8081429318035176, -2.799424876040794, -2.782921242828057
log_m_i_126, -2.8339518904690073, 0.013357238972854199, 0.0002468992952084723, -2.860449652854006, -2.8082965082990854, -2.8608673400719664, -2.8428454097953306, -2.8336299945333314, -2.8249119387706076, -2.808408305557871
